NUMERO,NOMBRE,DIRECCION,COORDENADAS,PRECIO,LINK,CODIGO_POSTAL,COMPETENCIA,NUM_COMPETENCIA,NUM_TRANS_PUB,NOTA_FINAL
026,Local comercial en Doctor Manuel Candela,Doctor Manuel Candela,"(39.469365, -0.3499193)",600,https://www.pisos.com/alquilar/local_comercial-ciutat_jardi46022-49242005581_101000/,46021,"[(""Big Johnson's Burger Joint"", '46021'), ('Burger King', '46021'), ('Yecla 33', '46021')]","(3, 0, 0, 0.0)","(6, 2, 2)",6.5
015,Local comercial en Carrer de Guillem de Castro,Carrer de Guillem de Castro,"(39.468234651474, -0.37982983998)",1950,https://www.pisos.com/alquilar/local_comercial-sant_francesc46007-60016891104_100500/,46002,"[('Burger King', '46004'), ('Five Guys', '46002'), ('Burger King', '46002'), ('The Good Burger', '46002'), (""McDonald's"", '46002'), ('Hundred', '46002')]","(6, 0, 2, 3.6)","(8, 1, 3)",6.2
001,Local comercial en València,València,"(39.4702393, -0.3768049)",1111,https://www.pisos.com/alquilar/local_comercial-el_pla_del_real_mestalla46021-58422177688_100500/,46002,"[('Five Guys', '46002'), ('Burger King', '46004'), ('Burger King', '46002'), ('Mediterránea de Hamburguesas', '46002'), (""McDonald's"", '46002'), ('Hundred', '46002')]","(6, 0, 0, 0.0)","(7, 0, 5)",5.97
016,"Oficina en calle del Marqués de Campo, 13","calle del Marqués de Campo, 13","(39.460036772983, -0.387208722712)",619,https://www.pisos.com/alquilar/oficina-la_raiosa_san_vicente_martir-58424847568_101800/,46007,"[('Lamburguesa', '46007')]","(1, 1, 0, 4.2)","(12, 1, 2)",5.56
031,Local comercial en Russafa - Ruzafa,Russafa - Ruzafa,"(39.4616469, -0.3734643)",600,https://www.pisos.com/alquilar/local_comercial-russafa46005-59204397747_100500/,46006,"[('Bufit Ruzafa', '46006'), ('Burger King', '46006')]","(2, 0, 0, 0.0)","(3, 0, 2)",5.3
028,Oficina en Sant Francesc,Sant Francesc,"(39.4703495, -0.3760046)",1400,https://www.pisos.com/alquilar/oficina-sant_francesc46001-57524497856_109300/,46002,"[('Five Guys', '46002'), ('Burger King', '46004'), ('Burger King', '46002'), ('Mediterránea de Hamburguesas', '46002'), (""McDonald's"", '46002'), ('Hundred', '46002')]","(6, 0, 1, 3.5)","(0, 0, 4)",5.25
004,"Local comercial en calle del Músico Maestro Sosa, 29","calle del Músico Maestro Sosa, 29","(39.461187440651, -0.383957047194)",1000,https://www.pisos.com/alquilar/local_comercial-la_raiosa_san_vicente_martir-40848564018_990486/,46007,"[(""McDonald's"", '46007'), ('Lamburguesa', '46007')]","(2, 1, 0, 4.2)","(10, 1, 4)",5.14
022,Local comercial en calle de Mora de Rubielos,calle de Mora de Rubielos,"(39.459108521994, -0.385207872268)",2000,https://www.pisos.com/alquilar/local_comercial-arrancapins46007-54265337268_100900/,46007,[],"(0, 0, 0, 0.0)","(12, 4, 2)",4.89
027,Local comercial en Sant Francesc,Sant Francesc,"(39.4703495, -0.3760046)",2200,https://www.pisos.com/alquilar/local_comercial-sant_francesc46002-58417069656_100500/,46002,"[('Five Guys', '46002'), ('Burger King', '46004'), ('Burger King', '46002'), ('Mediterránea de Hamburguesas', '46002'), (""McDonald's"", '46002'), ('Hundred', '46002')]","(6, 0, 1, 3.5)","(7, 0, 4)",4.85
021,Local comercial en calle de Zapadores,calle de Zapadores,"(39.458933940243, -0.368905263645)",650,https://www.pisos.com/alquilar/local_comercial-montolivet46006-55044995695_526393/,46006,"[('Burger King', '46006')]","(1, 0, 0, 0.0)","(0, 0, 3)",4.84
012,Local comercial en calle Pedro Patricio May,calle Pedro Patricio May,"(39.49273935249, -0.376305266142)",350,https://www.pisos.com/alquilar/local_comercial-rascanya_torrefiel46019-29262581539_100500/,46019,[],"(0, 0, 0, 0.0)","(7, 0, 2)",4.73
008,Oficina en Avenida de las Tres Cruces,Avenida de las Tres Cruces,"(39.453412531188, -0.399729838094)",900,https://www.pisos.com/alquilar/oficina-vara_de_quart46014-60015917647_993415/,46014,[],"(0, 0, 0, 0.0)","(4, 3, 1)",4.65
006,Local comercial en Sant Isidre,Sant Isidre,"(39.4532844, -0.4027778)",990,https://www.pisos.com/alquilar/local_comercial-sant_isidre46014-55877460628_108500/,46014,"[('Burger King', '46014'), (""McDonald's"", '46014')]","(2, 0, 0, 0.0)","(2, 0, 1)",4.49
033,Local comercial en Sant Francesc,Sant Francesc,"(39.4703495, -0.3760046)",2500,https://www.pisos.com/alquilar/local_comercial-sant_francesc46002-54180700889_100500/,46002,"[('Five Guys', '46002'), ('Burger King', '46004'), ('Burger King', '46002'), ('Mediterránea de Hamburguesas', '46002'), (""McDonald's"", '46002'), ('Hundred', '46002')]","(6, 0, 2, 3.65)","(0, 0, 4)",4.22
